NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
DROGARIAS PACHECO;AV - R. Min. Edgar da Costa, 51 - 59 E 67 - Centro, Nova Iguaçu - RJ, 26220-070, Brasil;-43.4474982;-22.7605611;OPERATIONAL;3.9;14
DROGARIAS PACHECO;R DR - R. Otávio Tarquino, 150 - Centro, Nova Iguaçu - RJ, 26262-020, Brasil;-43.4504112;-22.7587637;OPERATIONAL;2.9;13
DROGARIAS PACHECO;R. Tomás Fonseca, 90 - 100 - Comendador Soares, Nova Iguaçu - RJ, 26280-376, Brasil;-43.48680280000001;-22.7436917;OPERATIONAL;3.5;56
Drogarias Pacheco;R. Dom Walmor, S/N - Centro, Nova Iguaçu - RJ, 26215-220, Brasil;-43.4513648;-22.7551349;OPERATIONAL;4.1;21
Drogarias Pacheco;R. Profa. Marli Pereira de Carvalho, 360 - Miguel Couto, Nova Iguaçu - RJ, 26255-000, Brasil;-43.42913369999999;-22.7070918;OPERATIONAL;3.7;42
DROGARIAS PACHECO;R. Cel. Monteiros de Barros, 158A - E 160 - Austin, Nova Iguaçu - RJ, 26087-150, Brasil;-43.5240537;-22.7191636;OPERATIONAL;3.4;31
DROGARIAS PACHECO;AV ABILIO AUGUSTO TAVORA 289 lojaS A B C - Cabuçu, Nova Iguaçu - RJ, 26291-200, Brasil;-43.5434236;-22.7859664;OPERATIONAL;3.5;59
Drogarias Pacheco;R. São Jorge, S/N - KM 32 - Km 32, Nova Iguaçu - RJ, 26298-527, Brasil;-43.601889;-22.8521922;OPERATIONAL;3.5;19
Drogarias Pacheco;R. Eloy Teixeira, 165 - Lojas 2 e 3 - Centro, Queimados - RJ, 26383-080, Brasil;-43.55649409999999;-22.7156334;OPERATIONAL;3.8;10
DROGARIAS PACHECO;R. Paraná, 121 FUNDOS - Centro, Mesquita - RJ, 26553-020, Brasil;-43.4303455;-22.78264069999999;OPERATIONAL;3.6;44
Drogarias Pacheco;Av. Irmãos Guinle, 1105 - Centro, Queimados - RJ, 26320-000, Brasil;-43.556752;-22.7162468;OPERATIONAL;3.9;60
DROGARIAS PACHECO;EST - Av. Getúlio de Moura, 1555 - Centro, Nilópolis - RJ, 26525-001, Brasil;-43.4160354;-22.80790799999999;OPERATIONAL;3.6;5
Drogarias Pacheco;Av. Prefeito Jorge Julio Costa dos Santos, S/N, Área C1 - Centro, Belford Roxo - RJ, 26130-010, Brasil;-43.3964813;-22.7722783;OPERATIONAL;3.8;25
Drogarias Pacheco;R. Visc. do Uruguai, 502 - Centro, Niterói - RJ, 24030-077, Brasil;-43.1224734;-22.8931167;OPERATIONAL;3.9;8
DROGARIAS PACHECO;R DA CONCEICAO - 35 - A - R. Visc. do Uruguai, 538 - Centro, Niterói - RJ, 24020-080, Brasil;-43.1224563;-22.8940649;OPERATIONAL;3;27
Drogarias Pacheco;R. Cel. Moreira César, 211 - Icaraí, Niterói - RJ, 24230-061, Brasil;-43.1110456;-22.9061774;OPERATIONAL;3.1;25
DROGARIAS PACHECO;R. Dr. Paulo Alves, 135 - Ingá, Niterói - RJ, 24210-445, Brasil;-43.1221754;-22.9017406;OPERATIONAL;4.3;44
DROGARIAS PACHECO;Av. Visconde do Rio Branco, 403 - Centro, Niterói - RJ, 24020-004, Brasil;-43.12350629999999;-22.8930994;OPERATIONAL;3.4;26
DROGARIAS PACHECO;R. Gavião Peixoto, 115 - loja 101 - Icaraí, Niterói - RJ, 24230-101, Brasil;-43.1108079;-22.90289220000001;OPERATIONAL;3.2;19
Drogarias Pacheco;Alameda São Boaventura, 944 - Fonseca, Niterói - RJ, 24120-192, Brasil;-43.08639100000001;-22.8816398;OPERATIONAL;4;236
DROGARIAS PACHECO;R. Gavião Peixoto, 191 - Icaraí, Niterói - RJ, 24230-091, Brasil;-43.1093355;-22.9041288;OPERATIONAL;3.3;12
DROGARIAS PACHECO;R. da Conceição, 164 - Centro, Niterói - RJ, 24020-081, Brasil;-43.1196085;-22.8944432;OPERATIONAL;3.8;13
DROGARIAS PACHECO;R. Gavião Peixoto, 212 - Icaraí, Niterói - RJ, 24230-102, Brasil;-43.1089822;-22.9048954;OPERATIONAL;4.4;19
DROGARIAS PACHECO;Rua Mariz e Barros, 82 - loja 101 E 103 - Icaraí, Niterói - RJ, 24220-121, Brasil;-43.1081437;-22.9095206;OPERATIONAL;3.6;19
DROGARIAS PACHECO;R. Miguel de Frias, 180 - loja 101 - Icaraí, Niterói - RJ, 24220-003, Brasil;-43.1130382;-22.9011697;OPERATIONAL;4.1;18
DROGARIAS PACHECO;R. Miguel de Frias, 78 - Icaraí, Niterói - RJ, 24220-002, Brasil;-43.1148148;-22.9028024;OPERATIONAL;3.8;18
DROGARIAS PACHECO;R. Dr. Paulo César, 319 - E 321 - Santa Rosa, Niterói - RJ, 24240-000, Brasil;-43.10407819999999;-22.89819379999999;OPERATIONAL;3.4;32
DROGARIAS PACHECO;Av. Central Ewerton Xavier, 1469 - loja 105 E 106 - Lot. Maravista, Niterói - RJ, 24340-105, Brasil;-43.0322287;-22.9461317;OPERATIONAL;2.9;37
DROGARIAS PACHECO;R TAVARES MACEDO 95 - loja 106 107 E 108 - Icaraí, Niterói - RJ, 24220-215, Brasil;-43.112236;-22.9034083;OPERATIONAL;3.9;14
Drogarias Pacheco;Estr. Francisco da Cruz Nunes, 973 - loja 101 loja 102 - Piratininga, Niterói - RJ, 24350-310, Brasil;-43.06061;-22.9384857;OPERATIONAL;3.7;37
Drogarias Pacheco;Av. Visconde do Rio Branco, 339 - Centro, Niterói - RJ, 24020-002, Brasil;-43.1235658;-22.8917295;OPERATIONAL;3.7;10
DROGARIAS PACHECO;Av. Pres. Roosevelt, 182 - São Francisco, Niterói - RJ, 24360-066, Brasil;-43.0906869;-22.9146705;OPERATIONAL;3.9;30
DROGARIAS PACHECO;Av. Rui Barbosa, 1231 - LOTE 36 - Largo da Batalha, Niterói - RJ, 24310-005, Brasil;-43.06676059999999;-22.9079817;OPERATIONAL;3.2;20
DROGARIAS PACHECO;R. João Fernandes Neto, 1261 - loja A - Centro, Belford Roxo - RJ, 26130-050, Brasil;-43.4005927;-22.7643826;OPERATIONAL;3.9;51
drogarias Pacheco;R. Teotônio do Valê - Parque Martinho, Belford Roxo - RJ, 26183-525, Brasil;-43.32847759999999;-22.7150776;OPERATIONAL;-;-
DROGARIAS PACHECO;Av. Pelinca, 162 - Parque Avenida Pelinca, Campos dos Goytacazes - RJ, 28035-053, Brasil;-41.3338378;-21.7595675;OPERATIONAL;3.8;50
DROGARIAS PACHECO;R. Dr. Lacerda Sobrinho, 12 - Centro, Campos dos Goytacazes - RJ, 28030-002, Brasil;-41.324041;-21.7574735;OPERATIONAL;3.6;16
DROGARIAS PACHECO;AV - R. Ten-Cel. Cardoso, 683 - Centro, Campos dos Goytacazes - RJ, 28035-042, Brasil;-41.3301019;-21.757827;OPERATIONAL;3.4;9
DROGARIAS PACHECO;Praça São Salvador, 35 - Centro, Campos dos Goytacazes - RJ, 28030-002, Brasil;-41.3230549;-21.756013;OPERATIONAL;3.9;48
Drogarias Pacheco;R. Voluntários da Pátria, 505 - Centro, Campos dos Goytacazes - RJ, 28030-260, Brasil;-41.3326322;-21.76248;OPERATIONAL;4.3;31
DROGARIAS PACHECO;R DR SILVIO BASTOS TAVARES 330 loja 102F 102G 102H 1 PISO - Parque Leopoldina, Campos dos Goytacazes - RJ, 28051-250, Brasil;-41.3487367;-21.7543225;OPERATIONAL;4.1;8
DROGARIAS PACHECO;Av. Tancredo Neves, 58 - Parque Guarus, Campos dos Goytacazes - RJ, 28080-420, Brasil;-41.3226202;-21.7482584;OPERATIONAL;3.4;29
Drogarias Pacheco;Av. Alberto Torres, 458 - Centro, Campos dos Goytacazes - RJ, 28035-582, Brasil;-41.3364382;-21.7508826;OPERATIONAL;5;5
DROGARIAS PACHECO;Rua Haddock Lobo, 36/42 - Parque California, Campos dos Goytacazes - RJ, 28013-315, Brasil;-41.3092421;-21.7644564;OPERATIONAL;5;1
Drogarias Pacheco Formosa;AV - R. Ten-Cel. Cardoso, 683 - Centro, Campos dos Goytacazes - RJ, 28035-042, Brasil;-41.33003900000001;-21.7578534;OPERATIONAL;4;3
Drogarias Pacheco;Av. Sen. José Carlos Pereira Pinto - Parque Barão do Rio Branco, Campos dos Goytacazes - RJ, 28083-102, Brasil;-41.3137898;-21.737979;OPERATIONAL;4;4
DROGARIAS PACHECO;R. da Matriz, 75 - Centro, São João de Meriti - RJ, 25520-640, Brasil;-43.3711091;-22.8029213;OPERATIONAL;3.4;75
Drogarias Pacheco;Av. Getúlio de Moura, 15 - Centro, São João de Meriti - RJ, 25520-662, Brasil;-43.3734195;-22.8039751;OPERATIONAL;4;10
DROGARIAS PACHECO;R. Maria Soares Sendas, 111 - loja 112 A 115 - Venda Velha, São João de Meriti - RJ, 25555-000, Brasil;-43.3522565;-22.79771969999999;OPERATIONAL;4.1;14
Drogarias Pacheco;Rua do Imperador, 271 - 273 - Centro, Petrópolis - RJ, 25620-002, Brasil;-43.1727864;-22.5091083;OPERATIONAL;3.7;23
Drogarias Pacheco;R. Paulo Barbosa, 326 - 328 E 330 - Centro, Petrópolis - RJ, 25620-100, Brasil;-43.16989150000001;-22.5090748;OPERATIONAL;4.3;12
DROGARIAS PACHECO;R. Paulino Afonso, 372 - Centro, Petrópolis - RJ, 25680-003, Brasil;-43.1918098;-22.507306;OPERATIONAL;3.6;7
DROGARIAS PACHECO;Estr. União e Indústria, 10152 - 10156 - Itaipava, Petrópolis - RJ, 25730-745, Brasil;-43.1343955;-22.4010393;OPERATIONAL;3.9;21
DROGARIAS PACHECO;Av. Santos Dumont, 213 - loja 4 - Piabetá, Magé - RJ, 25915-000, Brasil;-43.1784621;-22.609535;OPERATIONAL;3.4;73
DROGARIAS PACHECO;Praça Oito de Maio, 64 - Rocha Miranda, Rio de Janeiro - RJ, 21511-350, Brasil;-43.3514683;-22.8544261;OPERATIONAL;3.5;49
DROGARIAS PACHECO;R. Uranos, 1029 - Ramos, Rio de Janeiro - RJ, 21060-971, Brasil;-43.2607451;-22.8548563;OPERATIONAL;3.2;41
Drogarias Pacheco;Rua Prefeito José Montes Paixão, 1756 Lotes 2862 e 2863 - Centro, Mesquita - RJ, 26584-020, Brasil;-43.4302313;-22.7853279;OPERATIONAL;3.5;6
DROGARIAS PACHECO;ATUAL - R. Trinta e Três, 125 - Vila Santa Cecília, Volta Redonda - RJ, 27261-310, Brasil;-44.102813;-22.52159;OPERATIONAL;3.8;37
Drogarias Pacheco;Av. Paulo de Frontin, 219 - Aterrado, Volta Redonda - RJ, 27215-580, Brasil;-44.09427170000001;-22.5099595;OPERATIONAL;3.5;52
