Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
20044;jul/22;CSU CARDSYSTEM S.A.;Conselho Administração;Ações;18.548;33.806;15.258
26093;jul/22;CLEAR SALE S.A.;Conselho Administração;Ações;75.786.573;75.801.573;15.000
21067;jul/22;MOURA DUBEUX ENGENHARIA S/A;Controlador;Ações;29.155.082;29.169.282;14.200
25763;jul/22;VITTIA FERTILIZANTES E BIOLÓGICOS S.A.;Direto;Ações;5.461.906;5.474.406;12.500
21431;jul/22;HYPERA S.A.;Direto;Ações;701.943;712.193;10.250
20516;jul/22;SAO MARTINHO S.A.;Controlador;Ações;202.251.993;202.261.993;10.000
19615;jul/22;GRENDENE S.A.;Direto;Ações;2.494.506;2.504.506;10.000
14826;jul/22;CIA BRASILEIRA DE DISTRIBUICAO;Conselho Administração;Ações;855.284;863.965;8.681
25453;jul/22;Intelbras S.A.;Controlador;Ações;210.295.195;210.303.798;8.603
20770;jul/22;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Controlador;Ações;126.273.114;126.281.514;8.400
13773;jul/22;PBG S/A;Direto;Ações;139.500;147.600;8.100
5207;jul/22;DOHLER S.A.;Conselho Fiscal;Ações;116.800;123.900;7.100
25496;jul/22;Jalles Machado S.A.;Direto;Ações;124.942;131.542;6.600
3069;jul/22;CIA FERRO LIGAS DA BAHIA - FERBASA;Controlador;Ações;15.162.000;15.168.400;6.400
26034;jul/22;MULTILASER INDUSTRIAL S.A.;Conselho Administração;Ações;378.601.942;378.607.942;6.000
25070;jul/22;Plano & Plano Desenvolvimento Imobiliário S.A.;Direto;Ações;150.000;156.000;6.000
11991;jul/22;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;Conselho Administração;Ações;109.832;115.532;5.700
24236;jul/22;PRINER SERVIÇOS INDUSTRIAIS S.A.;Conselho Administração;Ações;260.281;265.781;5.500
11932;jul/22;IOCHPE MAXION S.A.;Conselho Administração;Ações;17.227.889;17.233.058;5.169
5762;jul/22;ETERNIT S.A. - Em Recuperação Judicial;Direto;Ações;296.000;301.000;5.000
20044;jul/22;CSU CARDSYSTEM S.A.;Direto;Ações;2.820;6.954;4.134
25550;jul/22;Orizon Valorização de Resíduos S.A.;Conselho Administração;Ações;396.057;400.057;4.000
20877;jul/22;HELBOR EMPREENDIMENTOS S.A.;Direto;Ações;244.753;248.753;4.000
4537;jul/22;GRAZZIOTIN S.A.;Controlador;Ações;1.859.175;1.863.075;3.900
25160;jul/22;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho Administração;Ações;132.600;136.000;3.400
15253;jul/22;ENERGISA S.A.;Conselho Administração;Ações;184.014;187.214;3.200
21938;jul/22;ENERGISA S.A.;Conselho Administração;Ações;184.014;187.214;3.200
18996;jul/22;ENERGISA S.A.;Conselho Administração;Ações;184.014;187.214;3.200
3271;jul/22;ENERGISA S.A.;Conselho Administração;Ações;184.014;187.214;3.200
3190;jul/22;ENERGISA S.A.;Conselho Administração;Ações;184.014;187.214;3.200
14605;jul/22;ENERGISA S.A.;Conselho Administração;Ações;144.014;147.214;3.200
24864;jul/22;ENERGISA S.A.;Conselho Administração;Ações;144.014;147.214;3.200
5576;jul/22;ENERGISA S.A.;Conselho Administração;Ações;144.014;147.214;3.200
24589;jul/22;ENERGISA S.A.;Conselho Administração;Ações;144.014;147.214;3.200
24902;jul/22;Mitre Realty Empreendimentos e Participações S.A.;Conselho Administração;Ações;309.100;312.272;3.172
20516;jul/22;SAO MARTINHO S.A.;Conselho Administração;Ações;810.268;813.428;3.160
15253;jul/22;ENERGISA S.A.;Controlador;Ações;489.043.734;489.046.734;3.000
